pregunta,respuesta,categoria
hola,"Hola 👋 soy el asistente virtual de soporte de InvoFact. Puedo ayudarte con facturación, impresoras, ventas y configuración del sistema.",saludo
buenos dias,"Hola 👋 soy el asistente virtual de soporte de InvoFact. Puedo ayudarte con facturación, impresoras, ventas y configuración del sistema.",saludo
buenas tardes,"Hola 👋 soy el asistente virtual de soporte de InvoFact. Puedo ayudarte con facturación, impresoras, ventas y configuración del sistema.",saludo
buenas noches,"Hola 👋 soy el asistente virtual de soporte de InvoFact. Puedo ayudarte con facturación, impresoras, ventas y configuración del sistema.",saludo
hola chatbot,"Hola 👋 soy el asistente virtual de soporte de InvoFact. Puedo ayudarte con facturación, impresoras, ventas y configuración del sistema.",saludo
hola necesito ayuda,"Hola 👋 soy el asistente virtual de soporte de InvoFact. Puedo ayudarte con facturación, impresoras, ventas y configuración del sistema.",saludo
alguien me ayuda,"Hola 👋 soy el asistente virtual de soporte de InvoFact. Puedo ayudarte con facturación, impresoras, ventas y configuración del sistema.",saludo
hola soporte,"Hola 👋 soy el asistente virtual de soporte de InvoFact. Puedo ayudarte con facturación, impresoras, ventas y configuración del sistema.",saludo
gracias,¡Con gusto! Si necesitas más ayuda puedes volver a escribirme en cualquier momento.,despedida
muchas gracias,¡Con gusto! Si necesitas más ayuda puedes volver a escribirme en cualquier momento.,despedida
ok gracias,¡Con gusto! Si necesitas más ayuda puedes volver a escribirme en cualquier momento.,despedida
perfecto gracias,¡Con gusto! Si necesitas más ayuda puedes volver a escribirme en cualquier momento.,despedida
eso es todo gracias,¡Con gusto! Si necesitas más ayuda puedes volver a escribirme en cualquier momento.,despedida
hasta luego,¡Con gusto! Si necesitas más ayuda puedes volver a escribirme en cualquier momento.,despedida
adios,¡Con gusto! Si necesitas más ayuda puedes volver a escribirme en cualquier momento.,despedida
nos vemos,¡Con gusto! Si necesitas más ayuda puedes volver a escribirme en cualquier momento.,despedida
quien eres,Soy un asistente virtual diseñado para ayudar con el sistema de facturación y soporte técnico.,smalltalk
que puedes hacer,Soy un asistente virtual diseñado para ayudar con el sistema de facturación y soporte técnico.,smalltalk
eres un bot,Soy un asistente virtual diseñado para ayudar con el sistema de facturación y soporte técnico.,smalltalk
me puedes ayudar,Soy un asistente virtual diseñado para ayudar con el sistema de facturación y soporte técnico.,smalltalk
como funciona este chat,Soy un asistente virtual diseñado para ayudar con el sistema de facturación y soporte técnico.,smalltalk
que servicios ofrece el sistema,Soy un asistente virtual diseñado para ayudar con el sistema de facturación y soporte técnico.,smalltalk
¿Cómo puedo emitir factura?,"Para emitir una factura en el sistema debe ingresar al módulo de ventas, seleccionar nueva factura, registrar los datos del cliente y confirmar el comprobante.",soporte
¿Cómo hago para emitir factura?,"Para emitir una factura en el sistema debe ingresar al módulo de ventas, seleccionar nueva factura, registrar los datos del cliente y confirmar el comprobante.",soporte
¿Me puedes explicar cómo emitir factura?,"Para emitir una factura en el sistema debe ingresar al módulo de ventas, seleccionar nueva factura, registrar los datos del cliente y confirmar el comprobante.",soporte
Necesito ayuda para emitir factura,"Para emitir una factura en el sistema debe ingresar al módulo de ventas, seleccionar nueva factura, registrar los datos del cliente y confirmar el comprobante.",soporte
Tengo un problema para emitir factura,"Para emitir una factura en el sistema debe ingresar al módulo de ventas, seleccionar nueva factura, registrar los datos del cliente y confirmar el comprobante.",soporte
